NUM_BODIES
5

NAMES
Sun
Mercury
Venus
Earth
Mars

MASSES
1.9885e+30
3.3011e+23
4.8675e+24
5.9724e+24
6.4171e+23

RADII
6.95508e+08
2.4397e+07
6.0518e+07
6.371e+06
3.3962e+07

TRAJECTORIES
Step No,Sunx,Suny,Sunz,Sunvx,Sunvy,Sunvz,Mercuryx,Mercuryy,Mercuryz,Mercuryvx,Mercuryvy,Mercuryvz,Venusx,Venusy,Venusz,Venusvx,Venusvy,Venusvz,Earthx,Earthy,Earthz,Earthvx,Earthvy,Earthvz,Marsx,Marsy,Marsz,Marsvx,Marsvy,Marsvz,
11.000000,-1.0851896E+09,8.1244271E+08,18700549.,-10.791916,-11.299450,0.34798626,4.6021292E+10,-4.0561381E+10,-7.6833253E+09,23643.508,38655.119,990.21805,1.0206507E+11,3.5604713E+10,-5.4561478E+09,-11304.517,33168.311,1107.4024,-1.4667918E+11,-3.4574860E+10,19734637.,6551.2878,-29108.317,0.89051872,-8.9444633E+10,2.2611159E+11,6.9075788E+09,-21654.271,-6802.6573,388.95821,
11.500000,-1.0856559E+09,8.1195457E+08,18715584.,-10.791377,-11.299381,0.34789874,4.7065547E+10,-3.8911970E+10,-7.6443188E+09,22592.105,39607.438,1164.4844,1.0158659E+11,3.7040865E+10,-5.4088331E+09,-11762.238,33017.457,1131.7450,-1.4640153E+11,-3.5833627E+10,19773144.,6799.7463,-29049.059,0.88880943,-9.0380867E+10,2.2581968E+11,6.9244419E+09,-21618.746,-6893.7815,386.17716,
12.000000,-1.0861221E+09,8.1146643E+08,18730615.,-10.790835,-11.299298,0.34781152,4.8065208E+10,-3.7220880E+10,-7.5978157E+09,21502.465,40535.040,1340.2385,1.0108830E+11,3.8470637E+10,-5.3604621E+09,-12217.708,32860.291,1155.8711,-1.4611313E+11,-3.7089879E+10,19811579.,7047.5787,-28987.694,0.88706124,-9.1315572E+10,2.2552384E+11,6.9411849E+09,-21582.875,-6984.7066,383.39180,
12.500000,-1.0865882E+09,8.1097830E+08,18745642.,-10.790291,-11.299202,0.34772464,4.9018621E+10,-3.5489141E+10,-7.5437487E+09,20374.615,41436.262,1517.3418,1.0057027E+11,3.9893755E+10,-5.3110440E+09,-12670.837,32696.847,1179.7761,-1.4581402E+11,-3.8343526E+10,19849939.,7294.7673,-28924.228,0.88527432,-9.2248736E+10,2.2522406E+11,6.9578077E+09,-21546.658,-7075.4315,380.60217,
13.000000,-1.0870544E+09,8.1049017E+08,18760666.,-10.789745,-11.299093,0.34763814,4.9924135E+10,-3.3717855E+10,-7.4820562E+09,19208.659,42309.375,1695.6437,1.0003262E+11,4.1309947E+10,-5.2605884E+09,-13121.539,32527.157,1203.4552,-1.4550420E+11,-3.9594476E+10,19888222.,7541.2945,-28858.669,0.88344884,-9.3180343E+10,2.2492035E+11,6.9743101E+09,-21510.098,-7165.9553,377.80832,
13.500000,-1.0875205E+09,8.1000205E+08,18775686.,-10.789197,-11.298969,0.34755204,5.0780098E+10,-3.1908199E+10,-7.4126828E+09,18004.777,43152.589,1874.9813,9.9475439E+10,4.2718942E+10,-5.2091048E+09,-13569.724,32351.260,1226.9039,-1.4518373E+11,-4.0842639E+10,19926428.,7787.1426,-28791.024,0.88158498,-9.4110377E+10,2.2461273E+11,6.9906918E+09,-21473.196,-7256.2770,375.01029,
14.000000,-1.0879866E+09,8.0951393E+08,18790702.,-10.788648,-11.298832,0.34746640,5.1584865E+10,-3.0061423E+10,-7.3355800E+09,16763.244,43964.053,2055.1782,9.8898843E+10,4.4120471E+10,-5.1566032E+09,-14015.306,32169.192,1250.1177,-1.4485262E+11,-4.2087925E+10,19964553.,8032.2940,-28721.300,0.87968291,-9.5038825E+10,2.2430121E+11,7.0069528E+09,-21435.951,-7346.3957,372.20814,
14.500000,-1.0884527E+09,8.0902582E+08,18805714.,-10.788096,-11.298680,0.34738126,5.2336803E+10,-2.8178858E+10,-7.2507064E+09,15484.429,44741.860,2236.0445,9.8302939E+10,4.5514268E+10,-5.1030935E+09,-14458.198,31980.993,1273.0921,-1.4451090E+11,-4.3330243E+10,20002598.,8276.7314,-28649.505,0.87774282,-9.5965671E+10,2.2398578E+11,7.0230928E+09,-21398.366,-7436.3105,369.40191,
15.000000,-1.0889188E+09,8.0853771E+08,18820723.,-10.787544,-11.298513,0.34729666,5.3034289E+10,-2.6261914E+10,-7.1580287E+09,14168.810,45484.049,2417.3764,9.7687842E+10,4.6900066E+10,-5.0485860E+09,-14898.312,31786.702,1295.8226,-1.4415861E+11,-4.4569505E+10,20040559.,8520.4374,-28575.647,0.87576489,-9.6890901E+10,2.2366647E+11,7.0391117E+09,-21360.442,-7526.0204,366.59165,
15.500000,-1.0893848E+09,8.0804961E+08,18835728.,-10.786990,-11.298331,0.34721265,5.3675721E+10,-2.4312088E+10,-7.0575221E+09,12816.981,46188.614,2598.9553,9.7053669E+10,4.8277600E+10,-4.9930913E+09,-15335.563,31586.361,1318.3049,-1.4379577E+11,-4.5805620E+10,20078436.,8763.3947,-28499.734,0.87374930,-9.7814500E+10,2.2334328E+11,7.0550093E+09,-21322.180,-7615.5244,363.77741,
