NUM_BODIES
5

NAMES
Sun
Mercury
Venus
Earth
Mars

MASSES
1.9885e+30
3.3011e+23
4.8675e+24
5.9724e+24
6.4171e+23

RADII
6.95508e+08
2.4397e+07
6.0518e+07
6.371e+06
3.3962e+07

TRAJECTORIES
Step No,Sunx,Suny,Sunz,Sunvx,Sunvy,Sunvz,Mercuryx,Mercuryy,Mercuryz,Mercuryvx,Mercuryvy,Mercuryvz,Venusx,Venusy,Venusz,Venusvx,Venusvy,Venusvz,Earthx,Earthy,Earthz,Earthvx,Earthvy,Earthvz,Marsx,Marsy,Marsz,Marsvx,Marsvy,Marsvz,
2.2000000,-1.0766071E+09,8.2142426E+08,18423210.,-10.801205,-11.298551,0.34961636,2.0736260E+10,-6.2407127E+10,-7.1493000E+09,36297.863,18338.533,-1830.7812,1.0716372E+11,8.3759990E+09,-6.1239499E+09,-2590.9730,34760.566,626.43650,-1.4980169E+11,-1.1074362E+10,19014993.,1889.4546,-29806.804,0.91453818,-7.1959299E+10,2.3075411E+11,6.5756855E+09,-22243.407,-5091.0098,439.27926,
2.3000000,-1.0767004E+09,8.2132664E+08,18426231.,-10.801111,-11.298580,0.34959862,2.1050226E+10,-6.2249711E+10,-7.1652345E+09,36216.364,18576.781,-1803.8364,1.0714175E+11,8.6763591E+09,-6.1185612E+09,-2687.6783,34753.951,631.92614,-1.4978559E+11,-1.1331910E+10,19022896.,1940.8075,-29802.742,0.91433517,-7.2151507E+10,2.3071021E+11,6.5794832E+09,-22237.586,-5109.9202,438.74017,
2.4000000,-1.0767938E+09,8.2122902E+08,18429251.,-10.801017,-11.298609,0.34958087,2.1363494E+10,-6.2090236E+10,-7.1809366E+09,36133.521,18814.900,-1776.7788,1.0711894E+11,8.9766631E+09,-6.1131251E+09,-2784.3666,34747.068,637.41110,-1.4976904E+11,-1.1589424E+10,19030797.,1992.1502,-29798.590,0.91413049,-7.2343665E+10,2.3066614E+11,6.5832762E+09,-22231.750,-5128.8236,438.20088,
2.5000000,-1.0768871E+09,8.2113140E+08,18432272.,-10.800922,-11.298637,0.34956312,2.1676053E+10,-6.1928703E+10,-7.1964054E+09,36049.331,19052.887,-1749.6086,1.0709530E+11,9.2769089E+09,-6.1076415E+09,-2881.0370,34739.916,642.89136,-1.4975205E+11,-1.1846902E+10,19038696.,2043.4825,-29794.351,0.91392414,-7.2535773E+10,2.3062191E+11,6.5870646E+09,-22225.899,-5147.7198,437.66137,
2.6000000,-1.0769804E+09,8.2103378E+08,18435292.,-10.800827,-11.298665,0.34954536,2.1987889E+10,-6.1765114E+10,-7.2116400E+09,35963.789,19290.735,-1722.3257,1.0707083E+11,9.5770940E+09,-6.1021106E+09,-2977.6889,34732.495,648.36685,-1.4973462E+11,-1.2104344E+10,19046593.,2094.8042,-29790.022,0.91371613,-7.2727830E+10,2.3057751E+11,6.5908483E+09,-22220.034,-5166.6088,437.12165,
2.7000000,-1.0770737E+09,8.2093616E+08,18438312.,-10.800732,-11.298693,0.34952759,2.2298993E+10,-6.1599469E+10,-7.2266393E+09,35876.893,19528.440,-1694.9302,1.0704552E+11,9.8772162E+09,-6.0965323E+09,-3074.3215,34724.807,653.83755,-1.4971674E+11,-1.2361749E+10,19054488.,2146.1152,-29785.606,0.91350646,-7.2919837E+10,2.3053296E+11,6.5946274E+09,-22214.154,-5185.4908,436.58172,
2.8000000,-1.0771670E+09,8.2083854E+08,18441332.,-10.800637,-11.298720,0.34950981,2.2609352E+10,-6.1431769E+10,-7.2414024E+09,35788.638,19765.997,-1667.4221,1.0701938E+11,1.0177273E+10,-6.0909068E+09,-3170.9341,34716.849,659.30341,-1.4969842E+11,-1.2619116E+10,19062382.,2197.4153,-29781.101,0.91329512,-7.3111792E+10,2.3048824E+11,6.5984018E+09,-22208.259,-5204.3656,436.04158,
2.9000000,-1.0772604E+09,8.2074092E+08,18444352.,-10.800541,-11.298747,0.34949203,2.2918953E+10,-6.1262016E+10,-7.2559284E+09,35699.020,20003.401,-1639.8016,1.0699240E+11,1.0477262E+10,-6.0852340E+09,-3267.5260,34708.624,664.76439,-1.4967965E+11,-1.2876445E+10,19070274.,2248.7043,-29776.507,0.91308212,-7.3303697E+10,2.3044335E+11,6.6021715E+09,-22202.350,-5223.2332,435.50123,
3.0000000,-1.0773537E+09,8.2064329E+08,18447372.,-10.800446,-11.298773,0.34947425,2.3227787E+10,-6.1090212E+10,-7.2702161E+09,35608.035,20240.646,-1612.0687,1.0696458E+11,1.0777182E+10,-6.0795140E+09,-3364.0963,34700.130,670.22045,-1.4966045E+11,-1.3133734E+10,19078164.,2299.9822,-29771.826,0.91286746,-7.3495551E+10,2.3039830E+11,6.6059366E+09,-22196.426,-5242.0937,434.96068,
3.1000000,-1.0774470E+09,8.2054567E+08,18450391.,-10.800350,-11.298799,0.34945645,2.3535840E+10,-6.0916357E+10,-7.2842648E+09,35515.680,20477.728,-1584.2234,1.0693593E+11,1.1077029E+10,-6.0737468E+09,-3460.6444,34691.367,675.67154,-1.4964080E+11,-1.3390983E+10,19086052.,2351.2488,-29767.056,0.91265114,-7.3687354E+10,2.3035309E+11,6.6096970E+09,-22190.487,-5260.9470,434.41991,
